product_id,name,category,units_in_stock,price,rating_avg,return_rate
SKI-00032,Mamaearth Ubtan,skincare,268,1202.5,1.7,7.9
CLO-00033,Puma Hoodie,clothing,470,1048.95,3.1,12.3
COS-00034,MAC Eyeliner,cosmetics,527,1571.72,2.1,17.2
GRO-00035,Kellogg's Corn Flakes,grocery,875,878.06,3.7,19.0
CLO-00036,H&M Cotton Shirt,clothing,265,1142.88,2.0,14.3
FUR-00037,Nilkamal Chair,furniture,534,651.26,2.2,12.7
FUR-00038,Nilkamal Chair,furniture,720,1832.82,4.4,19.6
CLO-00039,H&M Cotton Shirt,clothing,922,827.74,2.1,6.0
FUR-00040,Urban Ladder Sofa,furniture,585,811.02,4.5,11.2
HOM-00041,Amazon Basics Curtains,home,16,1401.76,1.4,18.3
GRO-00042,Nestle Milk,grocery,731,1677.61,2.7,16.9
ELE-00043,Sony Headphones,electronics,897,9.0,3.3,13.8
COS-00044,Revlon Compact Powder,cosmetics,627,1806.55,2.4,8.6
APP-00045,Bajaj Mixer Grinder,appliances,760,1341.81,1.7,2.9
CLO-00046,Nike Sportswear,clothing,592,1402.78,2.4,17.2
FUR-00047,Urban Ladder Sofa,furniture,252,936.94,1.9,9.6
FUR-00048,Nilkamal Chair,furniture,277,1276.63,5.0,8.1
HOM-00049,Pigeon Pressure Cooker,home,819,1899.6,2.0,15.5
GRO-00050,Hershey's Chocolate,grocery,477,1754.69,1.4,4.1
ELE-00051,Dell Laptop,electronics,33,748.08,1.2,12.4
APP-00052,Bajaj Mixer Grinder,appliances,221,1467.83,2.4,14.0
FUR-00053,Durian Office Desk,furniture,660,1069.07,1.8,17.6
CLO-00054,Zara Summer Dress,clothing,983,1629.81,3.8,9.6
HOM-00055,Milton Water Bottle,home,794,676.04,3.8,11.0
GRO-00056,Hershey's Chocolate,grocery,502,1745.88,4.0,4.8
HOM-00057,Pigeon Pressure Cooker,home,583,285.49,2.9,17.7
ELE-00058,Dell Laptop,electronics,281,867.45,2.2,3.6
SKI-00059,Cetaphil Moisturizer,skincare,199,1203.51,3.8,10.9
COS-00060,MAC Eyeliner,cosmetics,815,227.34,3.6,1.0
SKI-00061,Nivea Soft Cream,skincare,847,79.23,4.8,13.5
COS-00062,MAC Eyeliner,cosmetics,585,910.15,1.3,10.6
COS-00063,L'Oreal Mascara,cosmetics,937,343.31,1.7,11.5
SKI-00064,Cetaphil Moisturizer,skincare,93,1894.42,1.2,4.7
COS-00065,Revlon Compact Powder,cosmetics,697,263.21,2.8,7.1
CLO-00066,Zara Summer Dress,clothing,899,1335.31,4.3,10.3
HOM-00067,Milton Water Bottle,home,327,1592.94,3.2,12.5
CLO-00068,Zara Summer Dress,clothing,956,662.98,4.5,12.0
COS-00069,MAC Eyeliner,cosmetics,999,1530.04,1.4,0.9
ELE-00070,Logitech Wireless Mouse,electronics,55,182.21,3.1,17.7
CLO-00071,Nike Sportswear,clothing,411,1294.7,3.0,4.0
APP-00072,Havells Geyser,appliances,7,603.71,4.4,17.6
CLO-00073,H&M Cotton Shirt,clothing,281,1811.3,1.9,0.7
HOM-00074,Amazon Basics Curtains,home,431,1360.76,2.0,17.8
CLO-00075,Zara Summer Dress,clothing,803,1770.13,4.4,14.9
COS-00076,Revlon Compact Powder,cosmetics,807,78.73,4.0,4.2
SKI-00077,Cetaphil Moisturizer,skincare,415,1138.25,2.2,16.9
GRO-00078,Hershey's Chocolate,grocery,30,41.43,1.8,6.9
HOM-00079,Cello Chairs,home,591,514.97,4.6,17.8
CLO-00080,Nike Sportswear,clothing,611,1261.51,4.3,12.7
SKI-00081,Cetaphil Moisturizer,skincare,361,1594.49,5.0,13.6
FUR-00082,Durian Office Desk,furniture,995,1677.28,3.0,3.9
HOM-00083,Pigeon Pressure Cooker,home,626,1762.92,1.4,19.0
SKI-00084,Mamaearth Ubtan,skincare,199,340.04,2.2,8.5
HOM-00085,Pigeon Pressure Cooker,home,934,1588.55,1.0,12.4
FUR-00086,Nilkamal Chair,furniture,84,440.57,4.0,6.4
APP-00087,IFB Dishwasher,appliances,40,928.51,2.2,7.6
SKI-00088,Cetaphil Moisturizer,skincare,258,1979.56,3.3,9.7
SKI-00089,Neutrogena Face Wash,skincare,533,631.86,2.0,5.6
COS-00090,L'Oreal Mascara,cosmetics,360,1252.64,2.9,7.7
SKI-00091,Mamaearth Ubtan,skincare,393,1887.78,4.9,10.9
HOM-00092,Philips LED Bulb,home,983,1362.16,1.1,6.6
GRO-00093,Whole Foods Organic Oats,grocery,29,1558.55,4.4,15.6
HOM-00094,Milton Water Bottle,home,779,1992.23,1.2,17.0
COS-00095,Revlon Compact Powder,cosmetics,166,1820.16,4.6,8.8
ELE-00096,Samsung Smart TV,electronics,175,651.36,3.8,7.4
COS-00097,MAC Eyeliner,cosmetics,305,1679.69,2.1,11.8
GRO-00098,Hershey's Chocolate,grocery,485,1583.91,4.6,12.6
COS-00099,MAC Eyeliner,cosmetics,213,422.39,3.6,18.2
FUR-00100,Nilkamal Chair,furniture,555,668.74,1.5,14.1
GRO-00101,Amul Butter,grocery,774,1849.04,1.4,18.6
GRO-00102,Whole Foods Organic Oats,grocery,413,692.41,2.2,3.7
COS-00103,L'Oreal Mascara,cosmetics,628,1551.11,4.4,12.6
CLO-00104,Zara Summer Dress,clothing,672,1615.45,1.2,14.3
HOM-00105,Pigeon Pressure Cooker,home,299,41.87,3.8,14.1
COS-00106,L'Oreal Mascara,cosmetics,526,428.65,4.6,11.8
GRO-00107,Whole Foods Organic Oats,grocery,384,613.52,1.6,3.0
CLO-00108,Zara Summer Dress,clothing,935,530.66,1.2,3.5
SKI-00109,Nivea Soft Cream,skincare,225,829.64,4.4,6.8
SKI-00110,Mamaearth Ubtan,skincare,8,962.35,3.8,1.9
APP-00111,Samsung Refrigerator,appliances,15,248.28,2.8,13.6
GRO-00112,Kellogg's Corn Flakes,grocery,627,1700.03,1.4,14.6
CLO-00113,H&M Cotton Shirt,clothing,290,1614.13,4.7,11.1
FUR-00114,Ikea Study Table,furniture,136,1062.31,2.1,10.3
APP-00115,Havells Geyser,appliances,513,232.17,2.4,14.0
HOM-00116,Milton Water Bottle,home,322,1041.26,2.2,7.1
CLO-00117,Zara Summer Dress,clothing,799,979.32,2.9,13.1
HOM-00118,Pigeon Pressure Cooker,home,243,1923.85,2.1,13.1
FUR-00119,Ikea Study Table,furniture,25,615.11,4.0,1.6
FUR-00120,Nilkamal Chair,furniture,523,1484.39,2.5,10.0
GRO-00121,Nestle Milk,grocery,877,841.26,2.2,4.8
HOM-00122,Amazon Basics Curtains,home,985,1255.06,1.1,10.0
ELE-00123,Sony Headphones,electronics,329,862.07,4.9,13.3
FUR-00124,Durian Office Desk,furniture,876,231.0,4.3,1.3
GRO-00125,Hershey's Chocolate,grocery,144,446.18,3.3,17.1
COS-00126,MAC Eyeliner,cosmetics,852,1570.53,2.5,9.3
GRO-00127,Kellogg's Corn Flakes,grocery,164,516.69,2.4,18.2
CLO-00128,H&M Cotton Shirt,clothing,494,322.67,1.0,2.1
GRO-00129,Hershey's Chocolate,grocery,383,803.34,3.0,17.0
FUR-00130,Nilkamal Chair,furniture,37,670.28,3.4,13.0
FUR-00131,Nilkamal Chair,furniture,17,1421.08,2.0,0.7
GRO-00132,Hershey's Chocolate,grocery,765,692.76,3.1,10.5
GRO-00133,Hershey's Chocolate,grocery,773,677.92,4.8,18.1
SKI-00134,Neutrogena Face Wash,skincare,412,1448.53,4.3,9.0
COS-00135,MAC Eyeliner,cosmetics,760,1447.51,1.8,14.4
GRO-00136,Kellogg's Corn Flakes,grocery,604,1861.58,4.8,9.2
SKI-00137,The Ordinary Serum,skincare,727,755.68,3.1,19.9
CLO-00138,Levi's Denim Jeans,clothing,916,1617.59,3.0,0.7
CLO-00139,Zara Summer Dress,clothing,884,1612.98,1.1,14.2
APP-00140,Samsung Refrigerator,appliances,57,973.79,3.1,5.2
CLO-00141,Puma Hoodie,clothing,451,1053.58,2.2,19.4
APP-00142,Bajaj Mixer Grinder,appliances,766,1669.04,1.4,7.5
GRO-00143,Kellogg's Corn Flakes,grocery,408,1354.79,2.2,16.4
ELE-00144,Apple iPhone,electronics,177,700.22,1.3,13.9
COS-00145,Lakme Foundation,cosmetics,869,1586.18,1.3,6.9
SKI-00146,Neutrogena Face Wash,skincare,409,756.53,4.5,16.5
CLO-00147,Puma Hoodie,clothing,964,986.84,2.0,1.8
HOM-00148,Amazon Basics Curtains,home,21,96.84,2.3,7.1
HOM-00149,Philips LED Bulb,home,876,892.07,2.7,8.2
SKI-00150,Mamaearth Ubtan,skincare,264,1472.83,2.0,17.8
COS-00151,L'Oreal Mascara,cosmetics,566,840.96,3.3,13.9
SKI-00152,Nivea Soft Cream,skincare,362,825.24,2.0,8.2
SKI-00153,Mamaearth Ubtan,skincare,908,147.95,3.7,3.1
GRO-00154,Kellogg's Corn Flakes,grocery,762,1828.71,2.3,12.2
CLO-00155,Puma Hoodie,clothing,307,856.73,2.5,9.4
GRO-00156,Kellogg's Corn Flakes,grocery,963,822.1,3.1,18.2
SKI-00157,Mamaearth Ubtan,skincare,4,781.7,3.2,6.8
ELE-00158,Dell Laptop,electronics,374,737.2,1.6,14.2
CLO-00159,H&M Cotton Shirt,clothing,791,252.43,2.7,5.0
APP-00160,Havells Geyser,appliances,69,103.14,2.1,11.8
ELE-00161,Dell Laptop,electronics,414,102.94,3.1,9.7
HOM-00162,Milton Water Bottle,home,229,1287.6,4.1,17.1
APP-00163,Samsung Refrigerator,appliances,74,724.36,4.7,4.0
ELE-00164,Samsung Smart TV,electronics,736,454.96,2.8,1.9
GRO-00165,Hershey's Chocolate,grocery,475,1601.87,2.8,18.7
HOM-00166,Amazon Basics Curtains,home,873,496.44,2.5,17.9
ELE-00167,Sony Headphones,electronics,272,238.33,2.2,8.5
COS-00168,L'Oreal Mascara,cosmetics,435,93.84,2.9,4.3
GRO-00169,Hershey's Chocolate,grocery,543,1390.86,1.8,2.6
HOM-00170,Pigeon Pressure Cooker,home,175,1242.8,4.7,5.3
HOM-00171,Pigeon Pressure Cooker,home,705,1311.13,1.7,1.4
CLO-00172,H&M Cotton Shirt,clothing,178,357.71,3.5,7.2
ELE-00173,Logitech Wireless Mouse,electronics,587,1364.73,2.9,15.2
SKI-00174,Cetaphil Moisturizer,skincare,249,693.54,2.5,12.3
CLO-00175,Nike Sportswear,clothing,324,1963.27,1.9,15.6
SKI-00176,Cetaphil Moisturizer,skincare,454,411.02,3.4,19.2
HOM-00177,Milton Water Bottle,home,319,1675.5,3.2,11.0
COS-00178,Revlon Compact Powder,cosmetics,808,1894.38,4.6,8.9
CLO-00179,Nike Sportswear,clothing,31,76.36,3.7,8.8
ELE-00180,Apple iPhone,electronics,8,657.38,2.8,6.7
ELE-00181,Logitech Wireless Mouse,electronics,455,1310.83,2.7,18.6
FUR-00182,Durian Office Desk,furniture,744,161.03,2.4,2.7
COS-00183,Revlon Compact Powder,cosmetics,583,1555.37,1.3,18.0
SKI-00184,Cetaphil Moisturizer,skincare,501,644.42,1.2,6.1
HOM-00185,Pigeon Pressure Cooker,home,412,1798.76,3.3,6.1
ELE-00186,Logitech Wireless Mouse,electronics,398,537.36,2.8,14.9
APP-00187,IFB Dishwasher,appliances,948,785.07,4.3,2.7
ELE-00188,Dell Laptop,electronics,516,1067.73,2.5,18.6
ELE-00189,Apple iPhone,electronics,490,1838.1,2.6,17.8
APP-00190,Bajaj Mixer Grinder,appliances,220,1326.34,2.4,11.6
GRO-00191,Hershey's Chocolate,grocery,688,173.35,3.9,18.7
APP-00192,IFB Dishwasher,appliances,994,570.54,4.9,3.8
ELE-00193,Samsung Smart TV,electronics,344,1732.37,4.7,17.8
GRO-00194,Hershey's Chocolate,grocery,353,1842.19,1.4,18.6
HOM-00195,Philips LED Bulb,home,336,1626.27,2.1,12.5
COS-00196,MAC Eyeliner,cosmetics,807,669.69,3.0,4.3
APP-00197,Bajaj Mixer Grinder,appliances,878,1805.26,4.9,5.2
FUR-00198,Nilkamal Chair,furniture,804,794.47,4.4,7.1
GRO-00199,Amul Butter,grocery,814,627.79,4.3,14.2
FUR-00200,Urban Ladder Sofa,furniture,384,1627.53,2.9,15.4
COS-00201,MAC Eyeliner,cosmetics,258,713.82,4.3,6.7
HOM-00202,Pigeon Pressure Cooker,home,501,1515.59,2.1,11.7
CLO-00203,Zara Summer Dress,clothing,53,541.03,1.4,14.4
GRO-00204,Whole Foods Organic Oats,grocery,502,998.19,4.9,4.5
GRO-00205,Amul Butter,grocery,871,625.97,1.4,15.5
FUR-00206,Durian Office Desk,furniture,42,286.6,3.9,13.9
FUR-00207,Ikea Study Table,furniture,745,656.07,4.0,17.4
ELE-00208,Sony Headphones,electronics,734,23.42,1.3,8.9
HOM-00209,Philips LED Bulb,home,605,711.39,4.7,2.9
SKI-00210,The Ordinary Serum,skincare,979,1192.37,2.2,13.9
GRO-00211,Amul Butter,grocery,591,901.02,4.5,17.3
COS-00212,Lakme Foundation,cosmetics,796,1954.97,1.1,19.1
APP-00213,Havells Geyser,appliances,711,650.1,4.4,11.2
ELE-00214,Dell Laptop,electronics,872,234.25,1.3,17.9
APP-00215,IFB Dishwasher,appliances,571,764.41,4.7,11.4
SKI-00216,The Ordinary Serum,skincare,970,1629.89,4.5,13.8
HOM-00217,Philips LED Bulb,home,274,829.94,3.0,5.5
CLO-00218,H&M Cotton Shirt,clothing,891,1574.39,4.6,8.9
HOM-00219,Amazon Basics Curtains,home,466,183.13,2.5,8.8
CLO-00220,H&M Cotton Shirt,clothing,431,162.36,2.5,1.0
FUR-00221,Nilkamal Chair,furniture,332,1668.37,3.1,7.8
COS-00222,Lakme Foundation,cosmetics,675,1206.05,2.3,14.5
FUR-00223,Godrej Wardrobe,furniture,878,369.2,1.3,1.4
CLO-00224,Puma Hoodie,clothing,846,836.19,1.2,13.2
COS-00225,Revlon Compact Powder,cosmetics,974,798.24,3.8,4.5
FUR-00226,Ikea Study Table,furniture,804,1159.25,1.4,13.0
APP-00227,Bajaj Mixer Grinder,appliances,51,1035.87,2.4,8.8
GRO-00228,Amul Butter,grocery,465,1293.41,2.3,0.7
APP-00229,IFB Dishwasher,appliances,108,699.53,2.0,11.2
FUR-00230,Ikea Study Table,furniture,512,20.57,3.1,5.3
FUR-00231,Godrej Wardrobe,furniture,385,1945.74,3.0,8.2
GRO-00232,Hershey's Chocolate,grocery,356,1422.31,3.9,4.1
GRO-00233,Whole Foods Organic Oats,grocery,701,228.66,3.6,4.5
HOM-00234,Amazon Basics Curtains,home,344,66.18,2.4,19.2
APP-00235,Havells Geyser,appliances,122,600.39,1.1,4.2
COS-00236,MAC Eyeliner,cosmetics,956,1044.3,4.7,1.2
ELE-00237,Sony Headphones,electronics,423,1749.04,2.8,3.0
COS-00238,Lakme Foundation,cosmetics,430,130.37,4.6,10.2
APP-00239,Havells Geyser,appliances,429,1766.03,3.3,7.0
APP-00240,Bajaj Mixer Grinder,appliances,612,1708.2,3.8,14.0
SKI-00241,Nivea Soft Cream,skincare,402,1390.46,3.2,12.5
APP-00242,Havells Geyser,appliances,916,992.73,2.7,4.2
CLO-00243,Zara Summer Dress,clothing,230,280.96,2.4,17.3
SKI-00244,Mamaearth Ubtan,skincare,954,1619.04,1.6,3.9
SKI-00245,Cetaphil Moisturizer,skincare,442,363.95,2.6,6.8
APP-00246,Samsung Refrigerator,appliances,847,1198.82,2.8,16.3
HOM-00247,Philips LED Bulb,home,464,552.53,3.8,16.7
GRO-00248,Amul Butter,grocery,716,1248.17,2.7,14.1
HOM-00249,Amazon Basics Curtains,home,490,1360.8,1.4,2.4
COS-00250,MAC Eyeliner,cosmetics,183,1915.97,4.1,4.9
HOM-00251,Pigeon Pressure Cooker,home,155,1564.09,3.1,11.3
ELE-00252,Dell Laptop,electronics,258,1856.0,2.1,13.4
APP-00253,IFB Dishwasher,appliances,110,1117.99,1.3,5.2
CLO-00254,Puma Hoodie,clothing,383,1006.51,3.0,5.0
GRO-00255,Nestle Milk,grocery,762,857.45,3.2,14.2
ELE-00256,Sony Headphones,electronics,810,764.21,2.0,15.4
COS-00257,L'Oreal Mascara,cosmetics,805,1884.0,2.9,6.7
HOM-00258,Amazon Basics Curtains,home,168,508.28,4.3,17.4
HOM-00259,Pigeon Pressure Cooker,home,398,398.13,3.8,19.6
FUR-00260,Nilkamal Chair,furniture,583,213.55,4.9,7.7
SKI-00261,Cetaphil Moisturizer,skincare,553,181.72,1.8,18.7
SKI-00262,Neutrogena Face Wash,skincare,185,192.9,3.8,11.4
APP-00263,Samsung Refrigerator,appliances,776,1462.14,1.2,3.3
ELE-00264,Samsung Smart TV,electronics,553,352.58,3.5,14.3
HOM-00265,Cello Chairs,home,698,80.81,1.0,15.1
HOM-00266,Cello Chairs,home,546,18.63,2.2,2.8
APP-00267,Samsung Refrigerator,appliances,671,456.23,2.5,11.3
COS-00268,Revlon Compact Powder,cosmetics,859,326.76,2.8,8.7
GRO-00269,Nestle Milk,grocery,339,1441.98,3.9,14.8
FUR-00270,Godrej Wardrobe,furniture,953,366.24,3.9,11.2
GRO-00271,Kellogg's Corn Flakes,grocery,305,199.74,4.3,7.1
COS-00272,Maybelline Lipstick,cosmetics,864,16.7,1.3,5.8
APP-00273,Bajaj Mixer Grinder,appliances,991,1635.15,4.7,9.1
SKI-00274,Neutrogena Face Wash,skincare,808,1520.39,3.1,5.2
COS-00275,Lakme Foundation,cosmetics,402,960.62,1.2,16.7
COS-00276,Lakme Foundation,cosmetics,622,722.92,1.0,0.7
COS-00277,Revlon Compact Powder,cosmetics,601,827.06,1.5,19.2
GRO-00278,Nestle Milk,grocery,480,1298.68,2.0,16.9
SKI-00279,Nivea Soft Cream,skincare,839,1290.89,2.7,9.4
SKI-00280,Nivea Soft Cream,skincare,906,1663.05,1.8,3.8
ELE-00281,Apple iPhone,electronics,99,1813.88,1.7,1.2
SKI-00282,Mamaearth Ubtan,skincare,956,276.26,4.1,15.9
SKI-00283,Mamaearth Ubtan,skincare,876,1371.93,4.2,11.1
ELE-00284,Dell Laptop,electronics,435,949.85,2.6,19.3
CLO-00285,Nike Sportswear,clothing,223,1037.31,3.9,12.3
ELE-00286,Apple iPhone,electronics,60,1711.53,2.9,1.4
SKI-00287,Cetaphil Moisturizer,skincare,523,86.77,4.0,16.2
COS-00288,L'Oreal Mascara,cosmetics,568,810.85,4.8,0.8
CLO-00289,Levi's Denim Jeans,clothing,471,867.9,4.6,11.8
GRO-00290,Hershey's Chocolate,grocery,56,1018.82,3.7,2.2
APP-00291,IFB Dishwasher,appliances,452,698.24,3.4,16.6
FUR-00292,Urban Ladder Sofa,furniture,916,395.81,1.9,12.5
GRO-00293,Hershey's Chocolate,grocery,21,475.43,3.2,6.6
HOM-00294,Philips LED Bulb,home,962,1606.42,2.0,12.5
GRO-00295,Hershey's Chocolate,grocery,930,285.82,2.9,14.4
FUR-00296,Ikea Study Table,furniture,679,778.35,2.8,6.6
COS-00297,MAC Eyeliner,cosmetics,812,674.33,4.3,2.1
APP-00298,IFB Dishwasher,appliances,726,237.34,4.3,5.8
FUR-00299,Ikea Study Table,furniture,274,262.79,3.8,13.5
GRO-00300,Nestle Milk,grocery,857,819.24,1.4,14.6
HOM-00301,Milton Water Bottle,home,212,506.61,2.3,14.2
SKI-00302,The Ordinary Serum,skincare,6,1564.56,4.0,6.0
HOM-00303,Milton Water Bottle,home,636,1758.8,1.9,7.9
FUR-00304,Godrej Wardrobe,furniture,542,941.12,3.6,10.7
CLO-00305,H&M Cotton Shirt,clothing,56,1784.82,1.6,13.2
GRO-00306,Amul Butter,grocery,244,1740.61,4.8,18.8
SKI-00307,Neutrogena Face Wash,skincare,803,1464.71,1.4,10.6
ELE-00308,Logitech Wireless Mouse,electronics,752,1164.6,2.6,14.5
HOM-00309,Amazon Basics Curtains,home,147,1671.48,2.4,10.2
HOM-00310,Cello Chairs,home,662,1536.89,4.1,1.5
GRO-00311,Amul Butter,grocery,149,1327.72,3.2,8.6
COS-00312,Lakme Foundation,cosmetics,399,1708.36,1.7,10.8
APP-00313,IFB Dishwasher,appliances,163,213.19,4.5,2.2
COS-00314,Revlon Compact Powder,cosmetics,860,202.91,1.3,1.1
APP-00315,Bajaj Mixer Grinder,appliances,298,1739.28,2.0,11.7
CLO-00316,Puma Hoodie,clothing,778,272.23,3.2,18.3
SKI-00317,Cetaphil Moisturizer,skincare,738,840.37,5.0,2.6
APP-00318,LG Washing Machine,appliances,457,1874.82,2.7,15.5
CLO-00319,Nike Sportswear,clothing,251,973.62,3.5,11.6
APP-00320,IFB Dishwasher,appliances,193,190.06,4.8,17.1
FUR-00321,Nilkamal Chair,furniture,50,700.62,3.0,13.3
FUR-00322,Durian Office Desk,furniture,727,821.82,4.8,4.1
HOM-00323,Cello Chairs,home,396,721.26,4.2,6.0
FUR-00324,Nilkamal Chair,furniture,163,975.32,4.5,16.6
CLO-00325,Nike Sportswear,clothing,235,1894.7,4.8,15.4
COS-00326,L'Oreal Mascara,cosmetics,622,472.53,3.3,19.8
FUR-00327,Nilkamal Chair,furniture,717,1870.03,2.2,2.1
CLO-00328,Puma Hoodie,clothing,973,1221.79,1.2,17.9
CLO-00329,Nike Sportswear,clothing,819,792.94,3.3,16.6
SKI-00330,Nivea Soft Cream,skincare,590,1267.07,3.5,5.4
COS-00331,Maybelline Lipstick,cosmetics,170,1152.47,2.2,2.8
COS-00332,Lakme Foundation,cosmetics,159,1166.67,4.7,5.7
HOM-00333,Pigeon Pressure Cooker,home,840,1861.02,2.8,17.0
HOM-00334,Milton Water Bottle,home,948,212.63,4.7,9.0
ELE-00335,Apple iPhone,electronics,681,1543.36,4.1,10.7
APP-00336,Bajaj Mixer Grinder,appliances,899,345.32,2.4,15.5
FUR-00337,Godrej Wardrobe,furniture,370,1855.88,4.0,2.6
SKI-00338,Nivea Soft Cream,skincare,67,713.8,1.9,9.8
ELE-00339,Logitech Wireless Mouse,electronics,354,862.69,4.5,17.4
GRO-00340,Nestle Milk,grocery,61,310.75,2.4,4.7
CLO-00341,Nike Sportswear,clothing,96,439.57,1.3,20.0
APP-00342,LG Washing Machine,appliances,677,1844.91,3.4,7.2
HOM-00343,Philips LED Bulb,home,496,1368.08,1.6,5.0
CLO-00344,Zara Summer Dress,clothing,853,303.21,1.5,18.5
GRO-00345,Nestle Milk,grocery,216,1545.86,4.8,19.9
ELE-00346,Logitech Wireless Mouse,electronics,947,1103.02,3.6,10.6
APP-00347,IFB Dishwasher,appliances,437,1000.9,2.1,13.3
CLO-00348,Levi's Denim Jeans,clothing,279,433.74,5.0,1.0
HOM-00349,Milton Water Bottle,home,362,19.93,1.8,16.6
SKI-00350,Mamaearth Ubtan,skincare,898,822.87,2.7,2.2
SKI-00351,Mamaearth Ubtan,skincare,19,621.48,2.4,3.6
COS-00352,MAC Eyeliner,cosmetics,491,539.89,1.4,13.8
FUR-00353,Nilkamal Chair,furniture,372,899.28,4.1,17.4
APP-00354,Samsung Refrigerator,appliances,29,922.15,3.0,9.5
COS-00355,Revlon Compact Powder,cosmetics,560,1734.84,1.7,0.6
ELE-00356,Sony Headphones,electronics,254,1414.84,2.8,5.7
APP-00357,IFB Dishwasher,appliances,260,1990.32,2.6,0.8
APP-00358,Samsung Refrigerator,appliances,358,1501.15,1.5,5.2
CLO-00359,H&M Cotton Shirt,clothing,492,1788.6,4.3,17.0
ELE-00360,Logitech Wireless Mouse,electronics,635,100.52,2.7,18.6
ELE-00361,Sony Headphones,electronics,812,1061.05,2.7,2.0
CLO-00362,Levi's Denim Jeans,clothing,638,1414.82,1.3,9.5
GRO-00363,Amul Butter,grocery,473,1585.61,3.7,7.6
CLO-00364,H&M Cotton Shirt,clothing,734,1696.1,4.5,6.8
FUR-00365,Godrej Wardrobe,furniture,266,1147.76,2.7,19.3
SKI-00366,The Ordinary Serum,skincare,253,572.84,2.0,11.1
ELE-00367,Logitech Wireless Mouse,electronics,386,1835.44,2.8,4.1
GRO-00368,Amul Butter,grocery,854,700.1,1.2,15.1
ELE-00369,Dell Laptop,electronics,424,1733.78,2.0,13.7
GRO-00370,Hershey's Chocolate,grocery,123,618.46,4.0,7.2
SKI-00371,Cetaphil Moisturizer,skincare,128,1764.0,2.1,9.4
ELE-00372,Sony Headphones,electronics,473,1501.34,3.4,15.9
SKI-00373,Neutrogena Face Wash,skincare,710,949.7,3.1,12.7
GRO-00374,Hershey's Chocolate,grocery,222,698.54,1.4,9.8
COS-00375,L'Oreal Mascara,cosmetics,675,1908.87,4.4,3.8
COS-00376,Revlon Compact Powder,cosmetics,455,1213.49,3.9,1.5
GRO-00377,Amul Butter,grocery,932,1963.35,4.8,11.0
ELE-00378,Dell Laptop,electronics,628,672.25,2.0,16.8
HOM-00379,Amazon Basics Curtains,home,935,251.28,2.8,17.1
CLO-00380,Zara Summer Dress,clothing,815,1471.94,2.0,9.8
COS-00381,Revlon Compact Powder,cosmetics,911,41.85,2.2,13.1
APP-00382,LG Washing Machine,appliances,278,1377.49,3.4,18.7
CLO-00383,Levi's Denim Jeans,clothing,999,1834.47,3.2,9.1
CLO-00384,Puma Hoodie,clothing,854,1198.03,2.9,10.6
FUR-00385,Godrej Wardrobe,furniture,426,1374.54,3.5,19.9
COS-00386,L'Oreal Mascara,cosmetics,908,1948.97,1.8,9.4
GRO-00387,Hershey's Chocolate,grocery,92,1314.9,3.0,19.7
HOM-00388,Amazon Basics Curtains,home,56,1171.7,2.8,3.9
ELE-00389,Dell Laptop,electronics,755,1698.27,4.2,9.3
