sku_id,wishlist,cart,avg_rating,units_sold,returns,in_stock
ELE-00453,626,482,1.3,2381,1694,493
ELE-00455,319,474,2.2,87,64,800
APP-00456,26,253,4.2,2693,2005,786
HOM-00458,145,154,4.1,2514,9,255
HOM-00460,34,33,3.7,1500,75,629
HOM-00461,576,13,4.2,45,44,839
ELE-00463,764,13,3.3,2427,1787,914
HOM-00465,572,291,2.1,13,46,410
APP-00466,157,100,1.4,1375,1301,615
FUR-00469,79,239,3.3,1046,2479,41
HOM-00470,226,145,1.9,2873,2473,204
FUR-00471,379,212,3.3,83,99,595
HOM-00472,548,364,4.3,2285,1253,932
ELE-00475,229,2,1.0,11,2842,572
CLO-00476,968,413,1.1,2353,1838,823
APP-00477,286,188,4.6,55,73,263
GRO-00480,31,193,1.7,2504,2541,640
GRO-00481,488,215,4.2,1856,22,707
CLO-00483,361,403,1.8,2110,2239,65
HOM-00485,404,22,2.9,7,74,253
CLO-00492,332,228,1.2,12,2918,803
APP-00495,170,92,3.2,52,49,155
APP-00499,291,19,1.8,1680,23,280
CLO-00500,751,60,2.0,25,2825,418
GRO-00502,48,340,4.5,99,1391,305
CLO-00506,874,386,2.3,16,9,877
COS-00509,218,397,2.5,30,39,414
APP-00510,155,92,4.6,76,19,70
APP-00513,558,8,3.7,2322,71,379
SKI-00517,22,38,4.5,10,74,774
APP-00518,610,90,4.3,49,2498,111
SKI-00522,713,25,3.1,54,1969,484
SKI-00524,16,258,4.9,2923,2837,332
SKI-00533,123,235,2.5,2112,88,540
ELE-00537,114,459,3.7,1650,2530,920
SKI-00538,423,15,2.0,21,1365,71
GRO-00539,154,364,3.3,2614,1161,527
APP-00540,87,477,4.9,69,40,810
APP-00543,232,205,3.3,84,24,600
SKI-00544,578,193,1.3,7,17,259
FUR-00550,986,484,4.4,2192,2505,953
APP-00551,985,309,2.1,14,1408,163
SKI-00555,514,118,2.7,28,84,755
CLO-00559,577,420,4.0,2805,91,205
ELE-00565,995,282,1.8,95,1646,427
APP-00567,332,55,3.3,1852,1261,546
FUR-00574,362,467,4.1,51,2207,442
HOM-00575,526,450,2.6,73,1695,885
FUR-00576,704,382,4.6,54,1042,826
CLO-00579,230,58,3.0,12,1537,193
CLO-00580,931,274,2.3,2261,2361,38
SKI-00582,631,313,2.0,1130,2377,695
ELE-00585,119,287,4.8,9,40,955
SKI-00586,345,443,3.9,76,1729,710
APP-00587,260,253,5.0,1405,27,241
FUR-00589,635,193,4.4,49,88,623
SKI-00594,355,354,4.6,1956,54,798
COS-00597,210,328,3.6,1012,1518,816
COS-00601,247,277,3.4,2791,1739,276
CLO-00604,958,108,2.8,79,32,616
FUR-00609,641,449,2.3,73,37,619
CLO-00610,842,125,1.2,56,2734,953
COS-00617,847,12,1.5,57,1402,465
APP-00619,106,175,3.4,1171,1628,393
SKI-00622,182,51,4.7,65,1080,204
GRO-00624,379,110,4.2,2595,1519,966
FUR-00625,784,450,2.6,96,2050,683
COS-00626,966,391,3.6,1147,71,327
GRO-00627,757,50,1.7,41,1352,745
ELE-00629,314,272,4.1,32,1756,365
ELE-00631,762,52,4.0,93,69,165
FUR-00632,537,417,1.2,39,2910,1000
HOM-00641,54,59,2.7,1551,2249,232
GRO-00645,120,421,4.5,44,1008,573
GRO-00647,591,264,2.2,16,2402,25
GRO-00648,166,420,1.4,2688,72,80
GRO-00649,863,356,4.4,1890,1972,379
FUR-00650,484,83,2.0,2428,29,203
FUR-00652,711,103,4.5,85,2053,384
APP-00656,545,325,4.7,14,1109,981
SKI-00658,377,149,3.0,28,2708,348
APP-00660,151,160,3.0,82,2575,652
SKI-00665,114,11,1.8,84,2177,142
SKI-00673,231,481,1.7,1871,1688,718
SKI-00674,629,292,2.7,1749,2192,759
APP-00675,74,250,4.8,1547,1240,945
HOM-00677,619,236,2.8,52,61,367
HOM-00678,275,327,4.3,6,54,301
COS-00682,687,153,4.3,2922,2874,301
COS-00683,481,351,4.1,11,2601,81
COS-00687,304,462,3.1,53,60,107
HOM-00698,82,292,1.7,1831,27,246
SKI-00703,910,298,3.8,2410,22,293
FUR-00704,395,356,3.8,1597,2281,911
FUR-00709,750,391,1.6,49,11,556
SKI-00710,609,193,1.7,2120,2343,117
APP-00711,850,187,2.1,2591,32,260
CLO-00713,297,229,1.3,94,2831,560
FUR-00724,473,326,1.9,48,1460,630
FUR-00725,170,491,1.4,6,1507,123
SKI-00726,114,117,3.2,54,1985,742
APP-00730,988,281,4.6,1664,2183,820
COS-00733,803,497,4.6,2433,71,254
GRO-00734,422,280,3.4,96,1362,86
FUR-00735,735,43,3.6,2489,1731,744
GRO-00737,274,191,2.1,1156,1878,932
GRO-00739,603,242,2.0,43,2103,89
HOM-00741,862,412,4.2,20,34,983
CLO-00742,879,191,2.2,80,38,730
HOM-00743,932,268,4.5,35,2248,886
SKI-00746,398,38,4.3,15,2300,524
HOM-00747,468,226,1.5,2857,73,22
ELE-00748,18,228,4.7,2807,20,528
SKI-00749,174,199,4.9,51,2849,842
ELE-00751,395,113,2.0,49,33,449
FUR-00752,290,68,5.0,95,12,790
COS-00755,987,307,3.4,81,83,246
HOM-00757,634,42,1.6,70,79,130
HOM-00759,20,252,3.3,2166,2931,536
CLO-00763,183,232,4.1,11,53,431
FUR-00765,944,193,2.4,25,1567,302
GRO-00769,588,231,4.3,58,2931,905
CLO-00771,853,81,3.9,2991,35,234
ELE-00772,91,394,3.7,61,1803,422
SKI-00773,614,29,4.2,2522,1563,555
CLO-00774,367,194,4.6,2314,1080,46
HOM-00775,840,289,3.7,33,2037,959
FUR-00776,997,139,1.5,2226,1374,563
APP-00777,61,173,1.0,55,1536,333
GRO-00780,451,83,1.7,2358,34,922
ELE-00781,775,213,4.8,53,81,744
HOM-00783,855,463,2.6,1777,48,961
ELE-00784,8,111,4.0,35,2979,309
APP-00791,875,21,2.4,2246,22,461
GRO-00792,957,24,3.5,41,86,948
ELE-00794,684,394,4.3,32,11,522
APP-00801,560,72,4.3,12,43,616
ELE-00803,546,379,2.8,13,93,784
GRO-00811,384,120,4.0,16,2862,962
CLO-00812,896,33,1.8,2719,2474,865
FUR-00814,601,461,3.1,19,2426,33
COS-00817,801,238,4.4,1696,1251,57
ELE-00820,858,183,4.1,1134,2956,769
COS-00822,347,221,1.5,42,91,376
HOM-00826,100,13,3.7,97,1368,145
GRO-00828,593,20,1.2,1902,92,408
FUR-00832,336,428,2.8,1043,1065,162
ELE-00834,462,85,2.6,42,94,587
FUR-00838,334,141,1.5,18,1161,868
CLO-00840,812,44,1.3,28,36,676
APP-00842,193,325,2.4,44,85,470
FUR-00843,833,213,3.8,22,2632,911
HOM-00844,150,464,3.9,22,2206,117
SKI-00845,769,341,4.8,96,1722,381
CLO-00848,202,408,1.9,67,68,273
HOM-00849,39,403,1.9,1295,58,542
SKI-00851,771,362,1.7,2024,2654,561
HOM-00853,276,157,2.4,71,1585,115
APP-00854,260,121,3.9,23,24,718
HOM-00858,384,187,4.3,1590,2473,43
SKI-00862,957,84,3.7,1796,60,196
SKI-00863,91,358,2.1,31,2444,550
HOM-00867,922,12,4.3,2582,34,331
HOM-00872,415,21,4.7,1868,92,767
COS-00874,923,371,3.6,2566,34,656
APP-00875,286,327,3.8,66,2330,592
GRO-00876,737,140,1.9,85,55,382
COS-00880,731,327,4.3,20,20,747
SKI-00884,579,457,5.0,96,2760,989
GRO-00885,589,363,3.4,2738,1445,745
GRO-00891,277,15,2.4,2018,13,265
COS-00893,696,421,3.4,2376,65,998
COS-00895,612,483,1.5,2022,83,967
HOM-00896,886,187,4.9,72,8,295
ELE-00897,267,293,4.9,65,2196,61
GRO-00899,316,256,1.6,28,81,719
SKI-00903,554,117,2.0,75,20,451
COS-00905,301,35,4.6,16,20,569
CLO-00912,545,302,1.3,11,1208,178
GRO-00914,455,111,4.1,2548,1152,953
CLO-00915,867,323,3.6,1281,48,934
FUR-00919,506,195,2.1,56,39,821
FUR-00920,851,446,1.3,1904,1961,771
COS-00924,707,32,2.1,29,2684,608
COS-00927,430,211,1.6,26,13,877
SKI-00928,840,241,3.3,2806,83,662
ELE-00929,337,349,4.6,1727,2774,115
SKI-00931,986,307,3.6,56,1731,988
COS-00933,702,326,2.4,92,66,66
APP-00934,200,136,2.5,91,47,326
APP-00937,361,74,2.0,2340,26,89
SKI-00939,804,433,1.9,75,50,749
CLO-00940,647,132,2.1,32,93,830
SKI-00941,683,257,3.8,51,1134,642
COS-00943,354,112,3.2,96,1748,936
COS-00944,1,80,1.4,2794,2193,601
SKI-00950,933,441,4.5,91,8,505
COS-00951,73,375,4.1,40,2810,23
GRO-00952,965,223,3.5,9,2105,539
ELE-00953,126,1,1.9,13,18,451
HOM-00954,704,282,1.6,2524,1747,185
COS-00958,901,104,3.8,72,2273,585
CLO-00960,41,131,1.4,14,2591,41
CLO-00961,943,408,4.1,79,25,653
SKI-00962,482,279,2.0,47,10,721
GRO-00963,216,140,2.4,1985,2537,198
CLO-00964,47,394,3.7,45,2107,207
APP-00967,169,438,2.0,1391,2415,382
GRO-00968,635,183,2.7,94,9,488
HOM-00972,662,438,1.1,2987,2461,250
COS-00978,530,441,3.3,51,37,667
SKI-00979,176,240,4.2,1295,66,460
FUR-00980,627,200,4.4,1115,1896,979
SKI-00981,707,306,4.9,76,1457,734
HOM-00984,162,341,4.5,65,71,973
FUR-00986,117,39,4.0,99,1491,16
GRO-00987,179,358,3.7,9,54,809
COS-00990,718,487,1.8,35,2894,559
CLO-00991,869,257,2.0,1990,11,166
FUR-00992,384,108,3.0,1315,98,310
HOM-00994,163,384,1.8,2223,2989,38
APP-00997,407,241,3.9,1779,48,195
ELE-00999,721,213,3.1,82,36,694
COS-01001,781,375,3.3,37,58,809
CLO-01004,795,196,1.5,1204,89,199
SKI-01006,80,84,2.0,2608,25,49
COS-01007,885,387,2.6,1326,65,165
FUR-01009,452,6,2.0,1459,1482,997
CLO-01010,878,378,1.7,12,1793,551
FUR-01013,762,277,2.3,18,46,621
HOM-01024,556,292,4.0,1025,1448,332
COS-01025,220,441,2.5,59,2086,283
GRO-01027,519,297,4.7,2994,61,984
CLO-01030,373,382,4.1,42,2150,476
APP-01031,243,480,1.7,53,68,284
SKI-01033,681,218,3.6,1265,61,330
ELE-01034,927,230,4.8,1185,2373,517
HOM-01035,304,313,1.6,2930,1208,532
SKI-01040,881,71,2.3,1621,2036,370
HOM-01044,195,241,4.1,73,2427,299
ELE-01046,86,157,3.0,2739,43,864
GRO-01048,2,179,1.4,1427,1258,283
GRO-01049,442,210,2.8,28,2034,431
SKI-01053,695,166,3.8,1272,88,969
HOM-01054,179,409,1.5,9,21,441
APP-01055,652,134,4.0,83,1165,669
HOM-01058,128,440,4.4,1641,1216,878
APP-01061,48,449,1.0,70,1789,209
SKI-01062,242,349,2.0,1678,96,22
HOM-01066,280,240,3.6,1686,1177,1
CLO-01067,616,85,1.9,1133,13,6
APP-01069,932,249,3.6,1207,2815,783
ELE-01073,226,147,4.2,1162,49,956
COS-01078,585,200,3.8,86,1904,231
FUR-01079,145,162,1.9,1681,96,49
SKI-01087,428,167,3.8,2548,42,326
FUR-01088,173,257,2.0,61,1120,930
APP-01091,946,274,2.6,81,1653,922
SKI-01093,717,255,3.5,77,2092,795
COS-01098,459,129,2.2,14,2159,804
APP-01101,937,367,3.4,2091,2760,54
APP-01104,961,57,4.7,5,43,282
CLO-01107,955,186,1.8,2467,25,376
CLO-01108,398,67,1.6,18,91,148
FUR-01109,277,282,4.5,1094,38,84
CLO-01110,508,84,4.3,1323,99,975
HOM-01112,992,61,4.1,65,51,602
FUR-01114,244,355,3.1,27,91,154
FUR-01115,865,304,3.9,67,85,595
CLO-01119,158,334,4.2,59,2244,13
CLO-01122,437,404,3.0,83,2533,156
COS-01123,56,44,1.1,2102,2491,767
ELE-01125,772,163,4.0,2162,2537,245
FUR-01127,529,187,2.7,89,41,722
HOM-01128,570,403,3.6,25,1533,649
HOM-01132,436,82,3.5,1629,1965,116
ELE-01134,741,16,3.8,2588,1910,730
ELE-01139,40,13,3.3,1642,27,551
COS-01140,752,213,4.8,1456,2944,113
FUR-01143,338,0,1.2,2027,81,400
HOM-01144,884,321,2.1,1429,1102,153
FUR-01147,601,411,1.5,61,2318,350
COS-01148,449,161,3.7,40,14,954
CLO-01150,591,56,1.4,7,2661,694
GRO-01153,517,405,3.0,2875,33,428
FUR-01158,595,424,1.4,2671,21,894
FUR-01163,133,100,1.2,2698,1602,127
CLO-01164,320,339,1.2,42,1880,486
COS-01165,4,449,1.9,1413,1897,51
CLO-01166,954,275,4.0,1625,15,223
HOM-01167,278,475,4.6,39,90,906
CLO-01175,90,333,3.0,2062,1603,199
GRO-01176,419,429,1.4,1259,2055,875
COS-01177,850,168,2.4,10,2226,696
HOM-01180,928,315,2.3,1907,49,736
GRO-01181,719,125,4.4,70,25,481
CLO-01182,301,291,1.9,1924,2345,624
HOM-01183,489,317,3.4,15,1680,125
COS-01184,499,365,4.0,86,92,728
SKI-01186,484,251,2.0,1923,2940,165
CLO-01189,754,29,3.6,28,1018,351
ELE-01190,503,323,4.4,5,19,451
APP-01191,621,168,2.9,73,88,634
CLO-01193,605,170,1.6,1877,5,737
APP-01195,128,299,3.1,38,2223,132
APP-01198,366,154,1.8,60,37,479
SKI-01202,102,288,4.0,66,2556,460
HOM-01203,669,191,4.3,37,2795,377
ELE-01204,177,54,1.5,1729,2129,740
HOM-01205,536,226,4.8,52,2800,324
APP-01214,415,225,3.5,16,1594,283
SKI-01216,871,120,2.4,2021,82,787
HOM-01220,393,105,3.4,84,2036,927
APP-01222,126,58,1.9,1903,2879,395
SKI-01227,675,35,5.0,97,2691,967
APP-01228,162,219,3.2,46,1345,149
FUR-01230,558,488,3.7,25,65,674
APP-01232,769,241,3.2,15,68,193
APP-01233,642,290,3.0,31,1424,153
GRO-01241,506,389,4.8,2869,99,413
FUR-01244,256,256,2.5,2146,1912,929
ELE-01247,835,24,4.3,2898,40,950
ELE-01248,761,24,2.7,70,2639,260
ELE-01249,310,352,1.7,12,2415,715
APP-01252,510,155,1.9,50,64,838
COS-01254,656,104,4.6,40,52,87
CLO-01255,381,36,2.2,43,81,577
HOM-01256,926,31,2.1,2182,32,565
COS-01261,260,479,1.5,20,1919,890
HOM-01271,869,452,1.5,32,2775,866
ELE-01272,535,425,1.4,57,34,321
APP-01275,480,262,1.6,1560,69,835
CLO-01276,312,351,4.5,85,50,575
GRO-01277,356,92,3.8,1181,2227,344
CLO-01278,981,216,3.8,48,11,98
GRO-01279,331,112,2.0,21,1881,23
GRO-01281,508,110,2.3,76,80,822
SKI-01282,478,214,4.7,1249,1242,604
SKI-01283,979,3,1.8,80,2469,365
APP-01285,812,297,4.2,66,1343,225
CLO-01286,182,117,4.7,86,96,224
ELE-01289,126,324,2.0,25,2971,112
APP-01290,745,464,3.1,32,40,188
COS-01292,634,1,3.6,1985,1871,768
FUR-01293,637,323,4.1,8,83,966
HOM-01296,533,468,1.3,2558,2222,789
APP-01297,984,161,4.2,1191,86,508
FUR-01299,882,390,2.7,49,13,846
SKI-01304,710,445,1.1,92,1756,522
ELE-01306,401,4,1.6,39,1453,908
CLO-01312,422,277,2.7,30,1869,453
CLO-01318,128,103,2.4,1144,74,335
GRO-01319,690,95,1.0,2492,69,497
COS-01320,198,222,4.9,17,7,931
FUR-01322,444,13,1.2,2214,2830,552
HOM-01324,629,418,2.3,1502,1820,489
CLO-01327,891,373,4.7,1578,1439,582
COS-01331,674,79,3.8,2743,58,861
HOM-01332,360,237,3.0,1369,2196,19
HOM-01333,985,374,2.5,58,2703,649
FUR-01335,257,191,3.0,11,65,338
HOM-01336,104,489,1.3,2425,96,825
HOM-01337,499,301,2.6,39,84,968
FUR-01338,615,460,2.7,1114,64,222
FUR-01339,356,377,2.5,44,2596,489
CLO-01340,338,169,2.7,20,2120,222
SKI-01344,642,489,3.5,2686,2935,685
APP-01345,970,222,4.9,54,85,287
APP-01347,151,226,3.4,53,2521,850
HOM-01348,470,76,3.6,1962,2872,661
SKI-01349,223,35,4.5,2544,2427,809
APP-01351,223,68,2.0,2157,95,273
FUR-01352,408,179,3.1,44,24,549
ELE-01358,825,349,2.1,2118,2444,547
SKI-01367,64,301,3.8,1898,21,30
HOM-01371,396,253,1.3,2227,6,51
ELE-01373,847,453,4.0,2178,1216,321
SKI-01378,372,235,4.7,75,30,810
COS-01384,602,30,3.8,71,1631,210
FUR-01386,497,155,3.5,73,43,538
HOM-01388,456,313,3.6,2443,85,363
HOM-01391,158,152,2.6,2944,1018,704
GRO-01393,257,311,4.3,2374,86,153
FUR-01396,376,322,3.6,2097,49,94
GRO-01397,554,384,3.1,1888,2767,750
COS-01398,150,214,4.3,54,58,645
APP-01399,632,440,1.9,40,94,822
GRO-01401,45,467,3.2,77,59,885
APP-01403,33,342,3.8,1878,1712,111
SKI-01407,742,53,1.2,44,2010,461
ELE-01411,728,463,1.1,56,92,525
CLO-01412,572,24,2.2,2308,1087,689
COS-01413,56,153,1.9,92,2541,543
COS-01414,539,416,4.8,22,2306,424
HOM-01415,192,129,3.3,2685,1803,977
ELE-01417,216,214,3.3,11,1425,82
ELE-01418,496,383,4.2,23,97,985
ELE-01419,26,145,1.4,1972,2445,639
COS-01423,606,19,3.6,16,2742,923
COS-01424,904,284,3.6,1302,2210,544
COS-01427,69,406,4.3,1811,85,414
FUR-01428,986,499,2.4,1912,1326,110
GRO-01430,647,152,3.1,11,81,719
GRO-01431,711,456,1.4,49,1432,331
GRO-01434,382,431,1.2,38,2433,289
APP-01435,418,222,1.6,1240,2254,277
ELE-01442,601,285,4.4,61,2484,524
SKI-01443,279,131,3.2,1231,27,107
CLO-01445,512,412,1.3,2869,2169,709
FUR-01447,380,364,1.3,57,31,872
APP-01449,800,61,2.6,33,1165,617
APP-01452,766,175,2.6,1522,1938,827
HOM-01454,516,427,3.2,2896,1920,295
CLO-01456,387,108,3.8,17,1166,860
HOM-01457,68,347,3.2,1630,65,934
APP-01458,232,66,2.6,99,59,99
APP-01459,953,380,1.9,77,50,608
CLO-01460,82,354,4.6,67,2567,910
APP-01464,553,329,2.1,34,1677,548
COS-01465,164,78,3.8,1209,1345,766
ELE-01466,136,91,4.1,1753,1648,84
ELE-01468,165,300,4.7,79,1869,122
APP-01471,241,130,2.7,8,78,765
COS-01475,724,209,4.0,1439,53,989
SKI-01479,919,115,3.0,2384,97,106
FUR-01481,149,202,1.7,2526,87,806
COS-01483,131,155,4.0,1424,2355,527
HOM-01484,558,382,2.8,68,89,570
FUR-01485,883,328,1.4,2439,60,850
ELE-01487,112,221,2.5,1250,2330,752
APP-01488,332,259,4.1,2981,1540,75
SKI-01490,792,6,2.2,2545,62,708
ELE-01491,327,159,1.9,22,1809,630
CLO-01492,520,310,1.2,1194,48,505
GRO-01495,793,352,4.4,1686,2794,999
APP-01497,204,344,2.2,19,2000,24
ELE-01498,628,257,3.7,2354,2089,65
FUR-01499,265,414,3.0,2006,2861,654
ELE-01501,921,257,1.5,2308,1861,281
APP-01502,875,407,1.5,18,32,745
HOM-01504,424,43,1.2,1771,2595,259
FUR-01508,398,442,4.9,2740,66,7
SKI-01509,406,438,2.7,1692,2258,949
APP-01511,24,354,3.4,62,73,302
ELE-01513,222,263,5.0,1423,37,351
FUR-01514,17,231,2.9,31,1313,890
FUR-01515,176,236,4.4,81,11,487
CLO-01517,547,204,2.4,78,1057,5
ELE-01521,150,434,2.5,2200,1655,95
ELE-01522,159,249,2.8,1402,1114,624
GRO-01527,244,199,1.5,91,10,937
FUR-01528,874,414,1.1,72,1090,638
APP-01531,46,342,2.4,2791,2813,997
ELE-01535,44,172,3.8,17,1994,553
