sku_id,wishlist,cart,avg_rating,units_sold,returns,in_stock,label_action
GRO-00211,37,1,4.5,59,16,591,DISCOUNT
APP-00213,275,444,4.4,1192,1931,711,DISCOUNT
APP-00215,178,464,4.7,48,1026,571,DISCOUNT
HOM-00217,51,46,3.0,43,30,274,DISCOUNT
CLO-00218,172,298,4.6,1592,88,891,NO CHANGE
CLO-00220,469,99,2.5,1071,11,431,RESTOCK
FUR-00223,596,180,1.3,1483,98,878,NO CHANGE
FUR-00226,708,420,1.4,2157,66,804,RESTOCK
APP-00227,280,342,2.4,60,1780,51,DISCOUNT
GRO-00232,49,325,3.9,1410,2706,356,DISCOUNT
HOM-00234,110,457,2.4,78,1802,344,DISCOUNT
APP-00240,431,405,3.8,88,14,612,DISCOUNT
APP-00242,241,284,2.7,8,47,916,DISCOUNT
CLO-00243,124,159,2.4,90,42,230,DISCOUNT
SKI-00244,326,499,1.6,2721,1135,954,DISCOUNT
HOM-00249,353,86,1.4,16,7,490,DISCOUNT
HOM-00251,396,415,3.1,2343,62,155,RESTOCK
ELE-00252,534,122,2.1,13,2766,258,DISCOUNT
APP-00253,956,316,1.3,1396,2730,110,DISCOUNT
SKI-00262,211,436,3.8,1117,2420,185,DISCOUNT
APP-00263,809,285,1.2,2224,2980,776,DISCOUNT
ELE-00264,178,339,3.5,1398,38,553,RESTOCK
HOM-00265,687,499,1.0,23,65,698,DISCOUNT
APP-00267,944,492,2.5,2826,6,671,RESTOCK
COS-00268,952,232,2.8,95,88,859,DISCOUNT
GRO-00269,713,90,3.9,1490,2299,339,DISCOUNT
APP-00273,660,442,4.7,27,88,991,DISCOUNT
SKI-00274,312,318,3.1,41,2476,808,DISCOUNT
COS-00275,250,212,1.2,49,2150,402,DISCOUNT
GRO-00278,743,358,2.0,1762,40,480,RESTOCK
SKI-00279,56,372,2.7,74,75,839,DISCOUNT
SKI-00280,141,31,1.8,89,12,906,DISCOUNT
ELE-00281,787,25,1.7,1368,2755,99,DISCOUNT
ELE-00284,356,377,2.6,2852,82,435,RESTOCK
ELE-00286,190,306,2.9,2085,1924,60,DISCOUNT
GRO-00290,683,85,3.7,25,2317,56,DISCOUNT
GRO-00293,204,380,3.2,1091,2459,21,DISCOUNT
HOM-00294,936,494,2.0,62,62,962,DISCOUNT
APP-00298,841,128,4.3,1885,2371,726,DISCOUNT
FUR-00299,212,107,3.8,37,1740,274,DISCOUNT
CLO-00305,589,278,1.6,95,2833,56,DISCOUNT
HOM-00309,645,318,2.4,58,2879,147,DISCOUNT
HOM-00310,666,78,4.1,38,1446,662,DISCOUNT
GRO-00311,210,486,3.2,1203,1741,149,DISCOUNT
COS-00312,374,273,1.7,1875,2595,399,DISCOUNT
APP-00313,283,29,4.5,2813,1828,163,DISCOUNT
COS-00314,834,0,1.3,20,1005,860,DISCOUNT
APP-00315,309,283,2.0,29,92,298,DISCOUNT
SKI-00317,601,442,5.0,5,54,738,DISCOUNT
APP-00318,782,275,2.7,1566,2729,457,DISCOUNT
FUR-00322,207,69,4.8,93,77,727,DISCOUNT
HOM-00323,825,189,4.2,1766,82,396,RESTOCK
FUR-00324,526,18,4.5,73,88,163,NO CHANGE
CLO-00325,436,235,4.8,2342,1685,235,DISCOUNT
FUR-00327,854,285,2.2,29,1192,717,DISCOUNT
COS-00331,638,306,2.2,55,2668,170,DISCOUNT
HOM-00333,358,54,2.8,55,2300,840,DISCOUNT
ELE-00335,107,441,4.1,1894,2867,681,DISCOUNT
APP-00342,755,317,3.4,9,66,677,DISCOUNT
HOM-00343,202,54,1.6,2885,37,496,RESTOCK
CLO-00344,923,246,1.5,83,1069,853,DISCOUNT
GRO-00345,241,348,4.8,5,1029,216,DISCOUNT
ELE-00346,262,234,3.6,96,10,947,DISCOUNT
APP-00347,634,366,2.1,2802,27,437,RESTOCK
COS-00352,709,389,1.4,2642,6,491,RESTOCK
APP-00354,470,201,3.0,84,2067,29,DISCOUNT
COS-00355,921,339,1.7,1732,46,560,RESTOCK
ELE-00356,906,450,2.8,26,1140,254,DISCOUNT
CLO-00362,755,178,1.3,73,2994,638,DISCOUNT
GRO-00370,141,222,4.0,2485,1889,123,DISCOUNT
GRO-00374,665,56,1.4,1955,16,222,RESTOCK
COS-00375,991,142,4.4,1569,28,675,RESTOCK
GRO-00377,690,448,4.8,1102,63,932,NO CHANGE
ELE-00378,640,499,2.0,2677,2119,628,DISCOUNT
HOM-00379,738,351,2.8,1160,1275,935,DISCOUNT
CLO-00380,317,246,2.0,2890,1747,815,DISCOUNT
COS-00381,108,329,2.2,1257,21,911,DISCOUNT
CLO-00383,131,422,3.2,1091,32,999,DISCOUNT
CLO-00384,497,69,2.9,1387,2309,854,DISCOUNT
COS-00386,381,76,1.8,33,72,908,DISCOUNT
HOM-00388,878,280,2.8,2263,1926,56,NO CHANGE
ELE-00389,81,323,4.2,2006,91,755,NO CHANGE
COS-00397,210,263,3.2,2699,59,689,RESTOCK
SKI-00398,910,30,3.9,1849,2842,12,DISCOUNT
SKI-00399,854,139,4.0,75,2411,369,DISCOUNT
COS-00400,277,418,4.9,84,79,543,DISCOUNT
ELE-00404,395,247,4.6,44,8,636,DISCOUNT
APP-00408,328,389,4.3,2203,1366,842,DISCOUNT
GRO-00409,222,390,2.3,1854,78,667,RESTOCK
COS-00410,359,66,2.7,14,78,992,DISCOUNT
HOM-00417,575,375,4.9,76,52,809,DISCOUNT
CLO-00419,771,332,2.3,28,1311,485,DISCOUNT
HOM-00420,113,201,3.0,49,1642,894,DISCOUNT
GRO-00424,251,277,1.1,1829,2790,105,DISCOUNT
FUR-00427,307,387,2.6,79,60,385,DISCOUNT
SKI-00429,671,9,4.9,24,1154,778,DISCOUNT
COS-00430,168,250,2.0,1127,2256,68,DISCOUNT
COS-00431,36,292,4.4,1580,41,440,RESTOCK
FUR-00432,689,10,4.9,13,33,36,RESTOCK
APP-00437,200,285,2.5,1952,1675,139,DISCOUNT
HOM-00438,995,280,2.7,1338,2217,628,DISCOUNT
CLO-00439,753,405,1.3,2237,35,922,RESTOCK
FUR-00442,544,189,3.7,2932,2328,29,DISCOUNT
APP-00445,242,343,1.6,66,1862,499,DISCOUNT
APP-00448,141,39,4.5,1398,37,723,NO CHANGE
ELE-00453,626,482,1.3,2381,1694,493,DISCOUNT
ELE-00455,319,474,2.2,87,64,800,DISCOUNT
APP-00456,26,253,4.2,2693,2005,786,DISCOUNT
HOM-00458,145,154,4.1,2514,9,255,RESTOCK
HOM-00460,34,33,3.7,1500,75,629,NO CHANGE
HOM-00461,576,13,4.2,45,44,839,DISCOUNT
ELE-00463,764,13,3.3,2427,1787,914,DISCOUNT
HOM-00465,572,291,2.1,13,46,410,DISCOUNT
APP-00466,157,100,1.4,1375,1301,615,DISCOUNT
FUR-00469,79,239,3.3,1046,2479,41,DISCOUNT
HOM-00470,226,145,1.9,2873,2473,204,DISCOUNT
FUR-00471,379,212,3.3,83,99,595,DISCOUNT
HOM-00472,548,364,4.3,2285,1253,932,DISCOUNT
ELE-00475,229,2,1.0,11,2842,572,DISCOUNT
CLO-00476,968,413,1.1,2353,1838,823,DISCOUNT
APP-00477,286,188,4.6,55,73,263,NO CHANGE
GRO-00480,31,193,1.7,2504,2541,640,DISCOUNT
GRO-00481,488,215,4.2,1856,22,707,RESTOCK
CLO-00483,361,403,1.8,2110,2239,65,DISCOUNT
HOM-00485,404,22,2.9,7,74,253,DISCOUNT
CLO-00492,332,228,1.2,12,2918,803,DISCOUNT
APP-00495,170,92,3.2,52,49,155,NO CHANGE
APP-00499,291,19,1.8,1680,23,280,RESTOCK
CLO-00500,751,60,2.0,25,2825,418,DISCOUNT
GRO-00502,48,340,4.5,99,1391,305,DISCOUNT
CLO-00506,874,386,2.3,16,9,877,DISCOUNT
COS-00509,218,397,2.5,30,39,414,DISCOUNT
APP-00510,155,92,4.6,76,19,70,RESTOCK
APP-00513,558,8,3.7,2322,71,379,RESTOCK
SKI-00517,22,38,4.5,10,74,774,DISCOUNT
APP-00518,610,90,4.3,49,2498,111,DISCOUNT
SKI-00522,713,25,3.1,54,1969,484,DISCOUNT
SKI-00524,16,258,4.9,2923,2837,332,DISCOUNT
SKI-00533,123,235,2.5,2112,88,540,RESTOCK
ELE-00537,114,459,3.7,1650,2530,920,DISCOUNT
SKI-00538,423,15,2.0,21,1365,71,DISCOUNT
GRO-00539,154,364,3.3,2614,1161,527,NO CHANGE
APP-00540,87,477,4.9,69,40,810,DISCOUNT
APP-00543,232,205,3.3,84,24,600,DISCOUNT
SKI-00544,578,193,1.3,7,17,259,NO CHANGE
FUR-00550,986,484,4.4,2192,2505,953,DISCOUNT
APP-00551,985,309,2.1,14,1408,163,DISCOUNT
SKI-00555,514,118,2.7,28,84,755,DISCOUNT
CLO-00559,577,420,4.0,2805,91,205,RESTOCK
ELE-00565,995,282,1.8,95,1646,427,DISCOUNT
APP-00567,332,55,3.3,1852,1261,546,DISCOUNT
FUR-00574,362,467,4.1,51,2207,442,DISCOUNT
HOM-00575,526,450,2.6,73,1695,885,DISCOUNT
FUR-00576,704,382,4.6,54,1042,826,DISCOUNT
CLO-00579,230,58,3.0,12,1537,193,DISCOUNT
CLO-00580,931,274,2.3,2261,2361,38,DISCOUNT
SKI-00582,631,313,2.0,1130,2377,695,DISCOUNT
ELE-00585,119,287,4.8,9,40,955,DISCOUNT
SKI-00586,345,443,3.9,76,1729,710,DISCOUNT
APP-00587,260,253,5.0,1405,27,241,RESTOCK
FUR-00589,635,193,4.4,49,88,623,DISCOUNT
SKI-00594,355,354,4.6,1956,54,798,NO CHANGE
COS-00597,210,328,3.6,1012,1518,816,DISCOUNT
COS-00601,247,277,3.4,2791,1739,276,DISCOUNT
CLO-00604,958,108,2.8,79,32,616,DISCOUNT
FUR-00609,641,449,2.3,73,37,619,DISCOUNT
CLO-00610,842,125,1.2,56,2734,953,DISCOUNT
COS-00617,847,12,1.5,57,1402,465,DISCOUNT
APP-00619,106,175,3.4,1171,1628,393,DISCOUNT
SKI-00622,182,51,4.7,65,1080,204,DISCOUNT
GRO-00624,379,110,4.2,2595,1519,966,DISCOUNT
FUR-00625,784,450,2.6,96,2050,683,DISCOUNT
COS-00626,966,391,3.6,1147,71,327,RESTOCK
GRO-00627,757,50,1.7,41,1352,745,DISCOUNT
ELE-00629,314,272,4.1,32,1756,365,DISCOUNT
ELE-00631,762,52,4.0,93,69,165,RESTOCK
FUR-00632,537,417,1.2,39,2910,1000,DISCOUNT
HOM-00641,54,59,2.7,1551,2249,232,DISCOUNT
GRO-00645,120,421,4.5,44,1008,573,DISCOUNT
GRO-00647,591,264,2.2,16,2402,25,DISCOUNT
GRO-00648,166,420,1.4,2688,72,80,RESTOCK
GRO-00649,863,356,4.4,1890,1972,379,DISCOUNT
FUR-00650,484,83,2.0,2428,29,203,RESTOCK
FUR-00652,711,103,4.5,85,2053,384,DISCOUNT
APP-00656,545,325,4.7,14,1109,981,DISCOUNT
SKI-00658,377,149,3.0,28,2708,348,DISCOUNT
APP-00660,151,160,3.0,82,2575,652,DISCOUNT
SKI-00665,114,11,1.8,84,2177,142,DISCOUNT
SKI-00673,231,481,1.7,1871,1688,718,DISCOUNT
SKI-00674,629,292,2.7,1749,2192,759,DISCOUNT
APP-00675,74,250,4.8,1547,1240,945,DISCOUNT
HOM-00677,619,236,2.8,52,61,367,NO CHANGE
HOM-00678,275,327,4.3,6,54,301,NO CHANGE
COS-00682,687,153,4.3,2922,2874,301,DISCOUNT
COS-00683,481,351,4.1,11,2601,81,DISCOUNT
COS-00687,304,462,3.1,53,60,107,RESTOCK
HOM-00698,82,292,1.7,1831,27,246,RESTOCK
SKI-00703,910,298,3.8,2410,22,293,RESTOCK
FUR-00704,395,356,3.8,1597,2281,911,DISCOUNT
FUR-00709,750,391,1.6,49,11,556,NO CHANGE
SKI-00710,609,193,1.7,2120,2343,117,DISCOUNT
APP-00711,850,187,2.1,2591,32,260,RESTOCK
CLO-00713,297,229,1.3,94,2831,560,DISCOUNT
FUR-00724,473,326,1.9,48,1460,630,DISCOUNT
FUR-00725,170,491,1.4,6,1507,123,DISCOUNT
SKI-00726,114,117,3.2,54,1985,742,DISCOUNT
APP-00730,988,281,4.6,1664,2183,820,DISCOUNT
COS-00733,803,497,4.6,2433,71,254,RESTOCK
GRO-00734,422,280,3.4,96,1362,86,DISCOUNT
FUR-00735,735,43,3.6,2489,1731,744,DISCOUNT
GRO-00737,274,191,2.1,1156,1878,932,DISCOUNT
GRO-00739,603,242,2.0,43,2103,89,DISCOUNT
HOM-00741,862,412,4.2,20,34,983,DISCOUNT
CLO-00742,879,191,2.2,80,38,730,DISCOUNT
HOM-00743,932,268,4.5,35,2248,886,DISCOUNT
SKI-00746,398,38,4.3,15,2300,524,DISCOUNT
HOM-00747,468,226,1.5,2857,73,22,RESTOCK
ELE-00748,18,228,4.7,2807,20,528,RESTOCK
SKI-00749,174,199,4.9,51,2849,842,DISCOUNT
ELE-00751,395,113,2.0,49,33,449,DISCOUNT
FUR-00752,290,68,5.0,95,12,790,DISCOUNT
COS-00755,987,307,3.4,81,83,246,RESTOCK
HOM-00757,634,42,1.6,70,79,130,RESTOCK
HOM-00759,20,252,3.3,2166,2931,536,DISCOUNT
CLO-00763,183,232,4.1,11,53,431,DISCOUNT
FUR-00765,944,193,2.4,25,1567,302,DISCOUNT
GRO-00769,588,231,4.3,58,2931,905,DISCOUNT
CLO-00771,853,81,3.9,2991,35,234,RESTOCK
ELE-00772,91,394,3.7,61,1803,422,DISCOUNT
SKI-00773,614,29,4.2,2522,1563,555,DISCOUNT
CLO-00774,367,194,4.6,2314,1080,46,RESTOCK
HOM-00775,840,289,3.7,33,2037,959,DISCOUNT
FUR-00776,997,139,1.5,2226,1374,563,DISCOUNT
APP-00777,61,173,1.0,55,1536,333,DISCOUNT
GRO-00780,451,83,1.7,2358,34,922,NO CHANGE
ELE-00781,775,213,4.8,53,81,744,DISCOUNT
HOM-00783,855,463,2.6,1777,48,961,NO CHANGE
ELE-00784,8,111,4.0,35,2979,309,DISCOUNT
APP-00791,875,21,2.4,2246,22,461,RESTOCK
GRO-00792,957,24,3.5,41,86,948,DISCOUNT
ELE-00794,684,394,4.3,32,11,522,NO CHANGE
APP-00801,560,72,4.3,12,43,616,DISCOUNT
ELE-00803,546,379,2.8,13,93,784,DISCOUNT
GRO-00811,384,120,4.0,16,2862,962,DISCOUNT
CLO-00812,896,33,1.8,2719,2474,865,DISCOUNT
FUR-00814,601,461,3.1,19,2426,33,DISCOUNT
COS-00817,801,238,4.4,1696,1251,57,RESTOCK
ELE-00820,858,183,4.1,1134,2956,769,DISCOUNT
COS-00822,347,221,1.5,42,91,376,DISCOUNT
HOM-00826,100,13,3.7,97,1368,145,DISCOUNT
GRO-00828,593,20,1.2,1902,92,408,RESTOCK
FUR-00832,336,428,2.8,1043,1065,162,DISCOUNT
ELE-00834,462,85,2.6,42,94,587,DISCOUNT
FUR-00838,334,141,1.5,18,1161,868,DISCOUNT
CLO-00840,812,44,1.3,28,36,676,DISCOUNT
APP-00842,193,325,2.4,44,85,470,DISCOUNT
FUR-00843,833,213,3.8,22,2632,911,DISCOUNT
HOM-00844,150,464,3.9,22,2206,117,DISCOUNT
SKI-00845,769,341,4.8,96,1722,381,DISCOUNT
CLO-00848,202,408,1.9,67,68,273,NO CHANGE
HOM-00849,39,403,1.9,1295,58,542,NO CHANGE
SKI-00851,771,362,1.7,2024,2654,561,DISCOUNT
HOM-00853,276,157,2.4,71,1585,115,DISCOUNT
APP-00854,260,121,3.9,23,24,718,DISCOUNT
HOM-00858,384,187,4.3,1590,2473,43,DISCOUNT
SKI-00862,957,84,3.7,1796,60,196,RESTOCK
SKI-00863,91,358,2.1,31,2444,550,DISCOUNT
HOM-00867,922,12,4.3,2582,34,331,RESTOCK
HOM-00872,415,21,4.7,1868,92,767,NO CHANGE
COS-00874,923,371,3.6,2566,34,656,RESTOCK
APP-00875,286,327,3.8,66,2330,592,DISCOUNT
GRO-00876,737,140,1.9,85,55,382,NO CHANGE
COS-00880,731,327,4.3,20,20,747,DISCOUNT
SKI-00884,579,457,5.0,96,2760,989,DISCOUNT
GRO-00885,589,363,3.4,2738,1445,745,DISCOUNT
GRO-00891,277,15,2.4,2018,13,265,RESTOCK
COS-00893,696,421,3.4,2376,65,998,NO CHANGE
COS-00895,612,483,1.5,2022,83,967,NO CHANGE
HOM-00896,886,187,4.9,72,8,295,RESTOCK
ELE-00897,267,293,4.9,65,2196,61,DISCOUNT
GRO-00899,316,256,1.6,28,81,719,DISCOUNT
SKI-00903,554,117,2.0,75,20,451,DISCOUNT
COS-00905,301,35,4.6,16,20,569,DISCOUNT
CLO-00912,545,302,1.3,11,1208,178,DISCOUNT
GRO-00914,455,111,4.1,2548,1152,953,DISCOUNT
CLO-00915,867,323,3.6,1281,48,934,NO CHANGE
FUR-00919,506,195,2.1,56,39,821,DISCOUNT
FUR-00920,851,446,1.3,1904,1961,771,DISCOUNT
COS-00924,707,32,2.1,29,2684,608,DISCOUNT
COS-00927,430,211,1.6,26,13,877,DISCOUNT
SKI-00928,840,241,3.3,2806,83,662,RESTOCK
ELE-00929,337,349,4.6,1727,2774,115,DISCOUNT
SKI-00931,986,307,3.6,56,1731,988,DISCOUNT
COS-00933,702,326,2.4,92,66,66,RESTOCK
APP-00934,200,136,2.5,91,47,326,DISCOUNT
APP-00937,361,74,2.0,2340,26,89,RESTOCK
SKI-00939,804,433,1.9,75,50,749,DISCOUNT
CLO-00940,647,132,2.1,32,93,830,DISCOUNT
SKI-00941,683,257,3.8,51,1134,642,DISCOUNT
COS-00943,354,112,3.2,96,1748,936,DISCOUNT
COS-00944,1,80,1.4,2794,2193,601,DISCOUNT
SKI-00950,933,441,4.5,91,8,505,NO CHANGE
COS-00951,73,375,4.1,40,2810,23,DISCOUNT
GRO-00952,965,223,3.5,9,2105,539,DISCOUNT
ELE-00953,126,1,1.9,13,18,451,DISCOUNT
HOM-00954,704,282,1.6,2524,1747,185,NO CHANGE
COS-00958,901,104,3.8,72,2273,585,DISCOUNT
CLO-00960,41,131,1.4,14,2591,41,DISCOUNT
CLO-00961,943,408,4.1,79,25,653,NO CHANGE
SKI-00962,482,279,2.0,47,10,721,DISCOUNT
GRO-00963,216,140,2.4,1985,2537,198,DISCOUNT
CLO-00964,47,394,3.7,45,2107,207,DISCOUNT
APP-00967,169,438,2.0,1391,2415,382,DISCOUNT
GRO-00968,635,183,2.7,94,9,488,DISCOUNT
HOM-00972,662,438,1.1,2987,2461,250,DISCOUNT
COS-00978,530,441,3.3,51,37,667,DISCOUNT
SKI-00979,176,240,4.2,1295,66,460,RESTOCK
FUR-00980,627,200,4.4,1115,1896,979,DISCOUNT
SKI-00981,707,306,4.9,76,1457,734,DISCOUNT
HOM-00984,162,341,4.5,65,71,973,DISCOUNT
FUR-00986,117,39,4.0,99,1491,16,DISCOUNT
GRO-00987,179,358,3.7,9,54,809,DISCOUNT
COS-00990,718,487,1.8,35,2894,559,DISCOUNT
CLO-00991,869,257,2.0,1990,11,166,RESTOCK
FUR-00992,384,108,3.0,1315,98,310,RESTOCK
HOM-00994,163,384,1.8,2223,2989,38,DISCOUNT
APP-00997,407,241,3.9,1779,48,195,RESTOCK
ELE-00999,721,213,3.1,82,36,694,DISCOUNT
COS-01001,781,375,3.3,37,58,809,DISCOUNT
CLO-01004,795,196,1.5,1204,89,199,RESTOCK
SKI-01006,80,84,2.0,2608,25,49,RESTOCK
COS-01007,885,387,2.6,1326,65,165,RESTOCK
FUR-01009,452,6,2.0,1459,1482,997,DISCOUNT
CLO-01010,878,378,1.7,12,1793,551,DISCOUNT
FUR-01013,762,277,2.3,18,46,621,DISCOUNT
HOM-01024,556,292,4.0,1025,1448,332,DISCOUNT
COS-01025,220,441,2.5,59,2086,283,DISCOUNT
GRO-01027,519,297,4.7,2994,61,984,RESTOCK
CLO-01030,373,382,4.1,42,2150,476,DISCOUNT
APP-01031,243,480,1.7,53,68,284,NO CHANGE
SKI-01033,681,218,3.6,1265,61,330,RESTOCK
ELE-01034,927,230,4.8,1185,2373,517,DISCOUNT
HOM-01035,304,313,1.6,2930,1208,532,NO CHANGE
SKI-01040,881,71,2.3,1621,2036,370,DISCOUNT
HOM-01044,195,241,4.1,73,2427,299,DISCOUNT
ELE-01046,86,157,3.0,2739,43,864,RESTOCK
GRO-01048,2,179,1.4,1427,1258,283,DISCOUNT
GRO-01049,442,210,2.8,28,2034,431,DISCOUNT
SKI-01053,695,166,3.8,1272,88,969,NO CHANGE
HOM-01054,179,409,1.5,9,21,441,DISCOUNT
APP-01055,652,134,4.0,83,1165,669,DISCOUNT
HOM-01058,128,440,4.4,1641,1216,878,DISCOUNT
APP-01061,48,449,1.0,70,1789,209,DISCOUNT
SKI-01062,242,349,2.0,1678,96,22,RESTOCK
HOM-01066,280,240,3.6,1686,1177,1,RESTOCK
CLO-01067,616,85,1.9,1133,13,6,RESTOCK
APP-01069,932,249,3.6,1207,2815,783,DISCOUNT
ELE-01073,226,147,4.2,1162,49,956,DISCOUNT
COS-01078,585,200,3.8,86,1904,231,DISCOUNT
FUR-01079,145,162,1.9,1681,96,49,RESTOCK
SKI-01087,428,167,3.8,2548,42,326,RESTOCK
FUR-01088,173,257,2.0,61,1120,930,DISCOUNT
APP-01091,946,274,2.6,81,1653,922,DISCOUNT
SKI-01093,717,255,3.5,77,2092,795,DISCOUNT
COS-01098,459,129,2.2,14,2159,804,DISCOUNT
APP-01101,937,367,3.4,2091,2760,54,DISCOUNT
APP-01104,961,57,4.7,5,43,282,NO CHANGE
CLO-01107,955,186,1.8,2467,25,376,RESTOCK
CLO-01108,398,67,1.6,18,91,148,NO CHANGE
FUR-01109,277,282,4.5,1094,38,84,RESTOCK
CLO-01110,508,84,4.3,1323,99,975,DISCOUNT
HOM-01112,992,61,4.1,65,51,602,DISCOUNT
FUR-01114,244,355,3.1,27,91,154,NO CHANGE
FUR-01115,865,304,3.9,67,85,595,DISCOUNT
CLO-01119,158,334,4.2,59,2244,13,DISCOUNT
CLO-01122,437,404,3.0,83,2533,156,DISCOUNT
COS-01123,56,44,1.1,2102,2491,767,DISCOUNT
ELE-01125,772,163,4.0,2162,2537,245,DISCOUNT
FUR-01127,529,187,2.7,89,41,722,DISCOUNT
HOM-01128,570,403,3.6,25,1533,649,DISCOUNT
HOM-01132,436,82,3.5,1629,1965,116,DISCOUNT
ELE-01134,741,16,3.8,2588,1910,730,DISCOUNT
ELE-01139,40,13,3.3,1642,27,551,NO CHANGE
COS-01140,752,213,4.8,1456,2944,113,DISCOUNT
FUR-01143,338,0,1.2,2027,81,400,RESTOCK
HOM-01144,884,321,2.1,1429,1102,153,RESTOCK
FUR-01147,601,411,1.5,61,2318,350,DISCOUNT
COS-01148,449,161,3.7,40,14,954,DISCOUNT
CLO-01150,591,56,1.4,7,2661,694,DISCOUNT
GRO-01153,517,405,3.0,2875,33,428,RESTOCK
